time,pages looked at
0.5222093000000001,1
1.0637773,1
1.6023196,1
2.1263362000000003,1
2.6443922,4
3.1660423000000004,6
3.6735795,8
4.1753237,14
4.6964475,20
5.214198100000001,27
5.751555900000001,31
6.2801493,40
6.800723300000001,50
7.334334100000001,55
7.861314,60
8.3893605,68
8.921316500000001,76
9.441925600000001,83
9.962313400000001,90
10.4730416,99
10.9861383,105
11.492252500000001,114
12.0109761,122
12.549568200000001,126
13.088741,129
13.611665400000001,129
14.124079100000001,132
14.6499559,136
15.196860299999999,142
15.7244826,150
16.272192699999998,152
16.8136607,152
17.333200599999998,154
17.857881799999998,155
18.3977181,158
18.9360167,160
19.459631599999998,168
19.998324,170
20.5341243,174
21.0725138,179
21.6048868,187
22.116685399999998,190
22.6500646,195
23.1722526,196
23.6857252,202
24.215765599999997,207
24.7382223,211
25.2572132,217
25.790641899999997,227
26.3245641,229
26.8500007,231
27.3835905,232
27.9227457,235
28.4442861,237
28.9663242,238
29.478875399999996,242
30.010939099999998,246
30.531060800000002,249
31.054731999999998,252
31.590029399999995,256
32.115280000000006,260
32.622106300000006,263
33.143177800000004,265
33.6808491,268
34.2203412,270
34.757799500000004,274
35.2925471,276
35.8340113,277
36.3715938,278
37.036185700000004,282
37.5571441,284
38.0727575,288
38.5879166,294
39.0935219,299
39.6139815,300
40.143922200000006,302
40.661120100000005,307
41.187400100000005,312
41.7039539,319
42.2385967,325
42.8628377,329
43.3815188,331
43.916044400000004,336
44.4372325,341
44.956127900000006,344
45.4784846,346
46.0152494,348
46.5520775,350
47.0616749,354
47.5809774,359
48.100630900000006,363
48.6358203,367
49.1761044,369
49.715034200000005,372
50.2537001,376
50.793239400000004,377
51.3340618,380
51.8710529,382
52.410535800000005,384
52.9500672,386
53.480991700000004,389
54.0115914,396
54.612856,398
55.1479246,404
55.6857063,407
56.2100007,413
56.7493131,418
57.271949400000004,421
57.795490300000004,422
58.317630900000005,427
58.8513126,431
59.3886297,437
59.9220495,441
60.4478748,444
60.985193100000004,448
61.5233068,451
62.104424300000005,453
62.6406985,458
63.16338160000001,462
63.6987132,463
64.2386465,465
64.7721779,469
65.29387,474
65.82195250000001,482
66.4287065,486
66.9898049,489
67.5200548,495
68.040763,499
68.5757329,504
69.1048996,507
69.6145168,511
70.1328062,517
70.6695057,520
71.2040638,525
71.7420772,529
72.2784591,531
72.815971,533
73.35561630000001,535
73.8770745,537
74.41145850000001,543
74.9505297,547
75.485304,552
76.0260873,554
76.5513792,555
77.1058294,557
77.6351064,562
78.1713335,565
78.7109609,569
79.23407230000001,573
79.7648076,579
80.377156,581
80.9856197,584
81.5214452,589
82.04185960000001,592
82.5618364,594
83.077838,601
83.59009520000001,606
84.1125889,607
84.6521633,609
85.1755383,615
85.7137053,618
86.2459532,621
86.7845533,623
87.31547640000001,624
87.9804755,628
88.526347,632
89.0493229,635
89.5889292,641
90.111251,644
90.6405519,647
91.1762751,651
91.713802,655
92.2368192,655
92.7720314,663
93.3105693,668
93.84605400000001,673
94.4114314,680
94.948284,686
95.4708142,687
95.98831820000001,693
96.52639930000001,699
97.0603952,703
97.5977675,712
98.13386700000001,715
98.666346,724
99.1940107,729
99.7159657,733
100.23962850000001,737
100.8405503,742
101.3842234,749
101.9035368,758
102.4405148,764
102.9639903,769
103.498275,777
104.051288,784
104.5637356,791
105.0981737,797
105.6359985,800
106.1629664,804
106.6820893,805
107.21359890000001,809
107.7694027,815
108.3328436,831
108.8655799,837
109.4172994,846
109.9539309,849
110.4753406,855
111.0119758,862
111.53740260000001,867
112.08639550000001,872
112.62511450000001,873
113.15885920000001,880
113.6937526,886
114.2244593,897
114.7452253,902
115.2558657,904
115.7916715,906
116.3300658,911
116.86249860000001,916
117.4011656,920
117.9401222,926
118.466763,932
119.1653519,938
119.70864,943
120.22997050000001,947
120.765962,959
121.301171,963
121.8400076,964
122.3611561,970
122.9001059,973
123.4349531,979
123.9554414,984
124.47987930000001,990
125.0169262,994
125.5561185,997
126.1021197,1003
126.62652890000001,1005
127.16710130000001,1005
127.7056595,1011
128.24051790000001,1014
128.7611694,1016
129.2976829,1019
129.8299783,1023
130.4611039,1025
131.0283804,1028
131.5686343,1029
132.1083734,1032
132.661883,1037
133.18909920000002,1041
133.7227164,1045
134.2605022,1050
134.7919616,1052
135.3219132,1058
135.8525801,1062
136.3725798,1066
136.9029598,1069
137.4455294,1071
137.97680400000002,1075
138.5161278,1079
139.0535406,1084
139.5922533,1088
140.1275637,1089
140.6496198,1098
141.1859813,1101
141.7247537,1105
142.2504368,1108
142.7798427,1112
143.3204113,1114
143.8512587,1116
144.4594358,1121
145.0328798,1126
145.5571748,1131
146.0906977,1137
146.6259729,1148
147.2095413,1154
147.7607928,1160
148.2962879,1165
148.8179504,1174
149.35496990000001,1176
149.8817533,1180
150.4104867,1189
150.9452535,1193
151.4927617,1199
152.0315902,1203
152.55659310000001,1211
153.0919672,1214
153.6538694,1225
154.1995375,1233
154.7286991,1236
155.25003710000001,1244
155.7736911,1248
156.2895142,1256
156.82520590000001,1262
157.3621824,1264
157.8854773,1268
158.4057949,1274
158.9406943,1278
159.4796317,1285
159.9955396,1290
160.52330940000002,1295
161.043675,1299
161.5768065,1305
162.1168749,1312
162.6330726,1318
163.1561893,1326
163.7034542,1331
164.2434579,1336
164.7634153,1342
165.2845677,1345
165.821618,1354
166.3699062,1358
166.9065053,1363
167.431476,1364
167.9617991,1366
168.5036772,1369
169.0551908,1370
169.6065522,1375
170.1567885,1379
170.692587,1381
171.2314595,1382
171.7866681,1384
172.32485450000001,1385
172.87844280000002,1387
173.4068299,1389
173.9397341,1390
174.4777439,1392
175.0321489,1394
175.5716613,1396
176.1264041,1398
176.6678146,1398
177.21952050000002,1402
177.768721,1407
178.3186944,1408
178.8607781,1411
179.4119373,1413
179.9780506,1416
180.5150442,1419
181.26883370000002,1424
181.8239101,1427
182.3783811,1429
182.9266916,1434
183.4721832,1436
184.0175769,1438
184.5711788,1439
185.1076679,1441
185.64751090000001,1443
186.20193220000002,1445
186.7539931,1448
187.3084672,1449
187.84428690000001,1453
188.3937787,1456
188.9317191,1459
189.4550103,1460
190.0216881,1463
190.5750648,1465
191.127635,1467
191.6841755,1470
192.2338693,1471
192.8250604,1472
193.3738389,1475
193.9431975,1479
194.49219680000002,1482
195.04699060000002,1486
195.6078051,1488
196.1609323,1489
196.7299598,1491
197.26850480000002,1495
197.8059465,1498
198.3442138,1500
198.88494740000002,1502
199.4204476,1508
199.9758621,1511
200.5285028,1513
201.0843738,1515
201.6368814,1516
202.1903911,1519
202.7438892,1523
203.2818679,1527
203.93946590000002,1531
204.5242466,1534
205.0815145,1536
205.6187333,1541
206.181805,1544
206.7172555,1546
207.3020199,1549
207.8697444,1554
208.4262875,1556
208.9957942,1559
209.5517932,1561
210.11926400000002,1563
210.6754535,1566
211.210806,1569
